UserId,QuestionID,StudentAnswer,ResponseRating
015bcce1-3a1c-4abc-8079-e84feb91c783,q1-1,Ein Programm zur Lösung eines Problems,
015bcce1-3a1c-4abc-8079-e84feb91c783,q1-2,Computercode,
015bcce1-3a1c-4abc-8079-e84feb91c783,q1-3,Programmcode,
015bcce1-3a1c-4abc-8079-e84feb91c783,q1-4,maschinelle Problemlösung,
015bcce1-3a1c-4abc-8079-e84feb91c783,q1-5,Handlungsvorschrift,
015bcce1-3a1c-4abc-8079-e84feb91c783,q2-1,"eine Gleichung, die einen Zusammenhang zwischen zwei oder mehreren Parametern herstellt",
015bcce1-3a1c-4abc-8079-e84feb91c783,q2-2,eine Darstellung von Relationen,
015bcce1-3a1c-4abc-8079-e84feb91c783,q2-3,"eine Möglichkeit, um Graphen mathematisch darzustellen",
015bcce1-3a1c-4abc-8079-e84feb91c783,q2-4,eine Gleichung,
015bcce1-3a1c-4abc-8079-e84feb91c783,q2-5,f(x),
015bcce1-3a1c-4abc-8079-e84feb91c783,q3-1,100 Dollar geteilt durch die Differenz zwischen Ein- und Verkaufspreis,
015bcce1-3a1c-4abc-8079-e84feb91c783,q3-2,100/(3-2),
015bcce1-3a1c-4abc-8079-e84feb91c783,q3-3,100 teilen durch 3-2,
015bcce1-3a1c-4abc-8079-e84feb91c783,q3-4,100 teilen durch 1,
015bcce1-3a1c-4abc-8079-e84feb91c783,q3-5,100/1,
015bcce1-3a1c-4abc-8079-e84feb91c783,q4-1,Damit die entstehende Pflanze ihre Wasserversorgung sicherstellen kann und in der Erde verankert ist.,
015bcce1-3a1c-4abc-8079-e84feb91c783,q4-2,Damit die Pflanze genug Wasser bekommt,
015bcce1-3a1c-4abc-8079-e84feb91c783,q4-3,Weil sonst die Pflanze umkippen würde,
015bcce1-3a1c-4abc-8079-e84feb91c783,q4-4,Die Pflanze braucht genug Wasser,
015bcce1-3a1c-4abc-8079-e84feb91c783,q4-5,Ohne Wurzeln bekommt die Pflanze kein Wasser und kann dann nicht mehr weiterwachsen.,
015bcce1-3a1c-4abc-8079-e84feb91c783,q5-1,Aus Kohlenstoffdioxid und Wasser wird Sauerstoff und Zucker.,
015bcce1-3a1c-4abc-8079-e84feb91c783,q5-2,Aus CO2 + H2O wird O2 und Glucose,
015bcce1-3a1c-4abc-8079-e84feb91c783,q5-3,Die Pflanze wandelt CO2 und Wasser in Sauerstoff um und dabei entsteht Zucker,
015bcce1-3a1c-4abc-8079-e84feb91c783,q5-4,Aus Kohlenstoffdioxid und Wasser wird Sauerstoff und Kohlenhydrate,
015bcce1-3a1c-4abc-8079-e84feb91c783,q5-5,6 CO2 + 6 H2O + Energie = 6 O2 und Kohlenhydrate,
015bcce1-3a1c-4abc-8079-e84feb91c783,q6-1,"+ , - , /",
015bcce1-3a1c-4abc-8079-e84feb91c783,q6-2,"Plus, Minus und Geteilt",
015bcce1-3a1c-4abc-8079-e84feb91c783,q6-3,"Addition, Subtraktion und Division",
015bcce1-3a1c-4abc-8079-e84feb91c783,q6-4,"etwas draufrechnen, etwas abziehen und durch etwas teilen",
015bcce1-3a1c-4abc-8079-e84feb91c783,q6-5,"Plus, Minus und Mal",
015bcce1-3a1c-4abc-8079-e84feb91c783,q7-1,"1, 3, 5, 7, 11",
015bcce1-3a1c-4abc-8079-e84feb91c783,q7-2,"eins, drei fünf, sieben und elf",
015bcce1-3a1c-4abc-8079-e84feb91c783,q7-3,"11, 13, 19, 5, 7",
015bcce1-3a1c-4abc-8079-e84feb91c783,q7-4,"elf dreizehn, neunzehn, fünf und sieben",
015bcce1-3a1c-4abc-8079-e84feb91c783,q7-5,"1, 3, 19, 13, 7",
015bcce1-3a1c-4abc-8079-e84feb91c783,q8-1,"blau, gelb und rot",
015bcce1-3a1c-4abc-8079-e84feb91c783,q8-2,RGB,
015bcce1-3a1c-4abc-8079-e84feb91c783,q9-1,"durch elektrische Wellen, durch ein strömendes Medium und durch Berührung",
015bcce1-3a1c-4abc-8079-e84feb91c783,q9-2,"durch Elektronik, durch Flüssigkeit und durch Anfassen",
015bcce1-3a1c-4abc-8079-e84feb91c783,q10-1,"Magnesium, Wasserstoff, Helium, Neon und Schwefel",
015bcce1-3a1c-4abc-8079-e84feb91c783,q10-2,"Lithium, Kalium, Calcium, Fluor, Chlor",
015bcce1-3a1c-4abc-8079-e84feb91c783,q10-3,"Eisen, Argon, Tallium, Titan, Sauerstoff",
015bcce1-3a1c-4abc-8079-e84feb91c783,q10-4,"Bor, Blei, Xenon, Kohlenstoff, Gallium",
015bcce1-3a1c-4abc-8079-e84feb91c783,q10-5,"Nickel, Kupfer, Radon, Barium, Radon",
015bcce1-3a1c-4abc-8079-e84feb91c783,q11-1,16*2,
015bcce1-3a1c-4abc-8079-e84feb91c783,q11-2,16 verdoppeln,
015bcce1-3a1c-4abc-8079-e84feb91c783,q11-3,32,
015bcce1-3a1c-4abc-8079-e84feb91c783,q11-4,16 mal 2,
015bcce1-3a1c-4abc-8079-e84feb91c783,q11-5,16+16,
015bcce1-3a1c-4abc-8079-e84feb91c783,q12-1,Fünf auf die andere Seite bringen und das durch 3 teilen,
015bcce1-3a1c-4abc-8079-e84feb91c783,q12-2,20-5 und dann 15/3,
015bcce1-3a1c-4abc-8079-e84feb91c783,q12-3,(20-5)/3,
015bcce1-3a1c-4abc-8079-e84feb91c783,q12-4,3x isolieren und dann die andere Seite durch 3 teilen,
015bcce1-3a1c-4abc-8079-e84feb91c783,q12-5,nach x auflösen,
015bcce1-3a1c-4abc-8079-e84feb91c783,q13-1,zwei Gleichungen aufstellen und dann ineinander einsetzen und nach der anderen auflösen,
015bcce1-3a1c-4abc-8079-e84feb91c783,q13-2,"y=2x und 2x+2y=30; 2x in zweite Formel einsetzen und nach x auflösen, das Ergebnis in die erste Formel einsetzen und ausrechnen",
015bcce1-3a1c-4abc-8079-e84feb91c783,q13-3,erst die eine Variable bestimmen und dann ihrer Hilfe die zweite Variable ausrechnen,
015bcce1-3a1c-4abc-8079-e84feb91c783,q14-1,"Weil 0,75 größer ist als 0,67",
015bcce1-3a1c-4abc-8079-e84feb91c783,q14-2,3/4 sind mehr als 2/3,
015bcce1-3a1c-4abc-8079-e84feb91c783,q15-1,Er ist freundlich und Mathelehrer,
015bcce1-3a1c-4abc-8079-e84feb91c783,q15-2,"Weil alle Mathelehrer nett sind, ist Herr Braun es auch.",
015bcce1-3a1c-4abc-8079-e84feb91c783,q15-3,"Alle Mathelehrer sind freundlich, also auch Herr Braun",
015bcce1-3a1c-4abc-8079-e84feb91c783,q16-1,75%,
015bcce1-3a1c-4abc-8079-e84feb91c783,q16-2,fünfundsiebzig Prozent,
015bcce1-3a1c-4abc-8079-e84feb91c783,q16-3,(150/200)*100,
015bcce1-3a1c-4abc-8079-e84feb91c783,q17-1,"x=3*4 + 4*1,50",
015bcce1-3a1c-4abc-8079-e84feb91c783,q17-2,x=12+6,
015bcce1-3a1c-4abc-8079-e84feb91c783,q17-3,zwölf plus 6,
